NS_Row,WE_Row,Name,subpop,group,Bolt_Photo_num,Plant_Date,Germ_Date,Bolt_Date,Flower_Date,Height_1st_Flower_cm,Blossom_Collected,Seed_Set,Died,Notes,,,
21,14,M3AU,weed,weed,"601, 602",5/29/13,7/1/13,7/26/13,7/29/13,12,8/14/13,8/13/13,,,,,
22,3,MABG,crop,crop,"436, 437",5/29/13,6/9/13,7/5/13,7/10/13,32,7/11/13,7/18/13,,,,,
22,4,CGBC,crop,crop,"543, 544",5/29/13,6/3/13,7/16/13,7/22/13,62,7/25/13,8/1/13,,,,,
22,7,NELO,crop,crop,,5/29/13,6/2/13,,,,,,,,,,
22,8,M3AU,weed,weed,,5/29/13,,,,,,,8/23/13,Replaced for Fall,,,
22,9,FGBC,crop,crop,,5/29/13,6/2/13,,,,,,,,,,
22,12,MYJO,crop,crop,"468, 469",5/29/13,6/4/13,7/9/13,7/15/13,54,7/25/13,8/5/13,9/20/13,Dying 9/9,,,
22,13,RABG,crop,crop,"603,604",5/29/13,6/3/13,7/26/13,8/1/13,61,8/14/13,8/13/13,,,,,
22,15,FRSI,crop,crop,,5/29/13,6/10/13,,,,,,,,,,
23,4,ESNK,crop,crop,"492, 493",5/29/13,6/2/13,7/10/13,7/16/13,56.5,7/25/13,7/22/13,,,,,
23,6,ESNK,crop,crop,"685,686",5/29/13,6/10/13,8/5/13,8/13/13,46,8/23/13,8/20/13,,Dying 9/3,,,
23,10,RABG,crop,crop,"135, 136",5/29/13,6/5/13,7/3/13,7/10/13,39.5,7/11/13,7/22/13,,,,,
23,12,CBES,lanmar,native,,5/29/13,,,,,,,,,,,
23,13,TOBG,crop,crop,,5/29/13,6/2/13,,,,,,,Dying 7/22,,,
23,14,PABS,crop,crop,,5/29/13,6/2/13,,,,,,,,,,
23,15,RABS,crop,crop,,5/29/13,6/6/13,,,,,,,,,,
23,17,BINY,weed,weed,,5/29/13,,,,,,,,,,,
24,1,SAES,lanmar,native,,5/29/13,6/6/13,,,,,,10/4/13,,,,
24,2,SAES,lanmar,native,,5/29/13,6/9/13,,,,,,,,,,
24,3,M3AU,weed,weed,"456, 457",5/29/13,6/17/13,7/7/13,7/22/13,15.5,8/2/13,8/13/13,,,,,
24,5,TOBG,crop,crop,,5/29/13,6/2/13,,,,,,,,,,
24,6,ESNK,crop,crop,"611,612",5/29/13,6/9/13,8/1/13,8/7/13,36,8/14/13,8/15/13,,,,,
24,8,GMIL,rostratus,native,"613,614",5/29/13,6/19/13,8/1/13,9/3/13,11,10/23/13,9/23/13,,,,,
24,9,GMIL,rostratus,native,"494, 495",5/29/13,6/14/13,7/10/13,7/22/13,6.5,8/2/13,8/13/13,,,,,
24,10,WMBG,crop,crop,,5/29/13,6/2/13,,,,,,,"Removed from ground 8/13, Replaced Fall",,,
24,11,BINY,weed,weed,,5/29/13,,,,,,,,,,,
24,12,RACA,crop,crop,"535, 536",5/29/13,6/9/13,7/15/13,7/22/13,36,7/25/13,8/1/13,,Flower collected has 4 pistils fused together.  Strange Flower.,,,
24,13,NTJO,crop,crop,,5/29/13,6/2/13,,,,,,,,,,
24,16,FRSI,crop,crop,,5/29/13,6/12/13,,,,,,,,,,
25,3,GMIL,rostratus,native,,5/29/13,6/18/13,8/20/13,8/23/13,31,,8/27/13,9/23/13,Dying 9/9,,,
25,5,CBBG,crop,crop,"579, 580",5/29/13,6/9/13,7/24/13,7/26/13,39.5,8/2/13,8/5/13,,,,,
25,6,TOBG,crop,crop,,5/29/13,6/3/13,,,,,,,,,,
25,10,NELO,crop,crop,,5/29/13,6/2/13,,,,,,9/9/13,Dying 8/27,,,
25,12,MBBC,crop,crop,,5/29/13,6/2/13,,,,,,,,,,
25,15,SPNK,crop,crop,"1053, 1054",5/29/13,6/2/13,8/20/13,9/3/13,84,9/20/13,9/9/13,9/20/13,,,,
26,3,FRSI,crop,crop,"1043, 1044",5/29/13,6/9/13,8/15/13,8/24/13,70,9/20/13,9/9/13,,,,,
26,5,GMIL,rostratus,native,"615,616",5/29/13,6/5/13,8/1/13,8/5/13,19.5,8/14/13,8/9/13,9/27/13,Dying 9/9,,,
26,6,TOBG,crop,crop,,5/29/13,6/2/13,,,,,,,,,,
26,7,FRSI,crop,crop,"1116, 1117",5/29/13,6/2/13,9/8/13,9/9/13,72,10/7/13,9/20/13,,,,,
26,8,RACA,crop,crop,"460, 461",5/29/13,6/2/13,7/8/13,8/1/13,38,8/14/13,8/5/13,,Looking very sick 7/11,,,
26,10,RBBC,crop,crop,"458, 459",5/29/13,6/2/13,7/8/13,7/15/13,31,7/25/13,7/24/13,,,,,
26,12,CBBG,crop,crop,"687,688",5/29/13,6/2/13,8/5/13,8/20/13,91.5,8/23/13,9/3/13,,,,,
26,14,NTJO,crop,crop,,5/29/13,6/2/13,,,,,,,,,,
26,17,NTJO,crop,crop,,5/29/13,6/2/13,,,,,,,,,,
27,1,MYJO,crop,crop,"618,619",5/29/13,6/2/13,8/1/13,8/5/13,53.5,,8/24/13,,,,,
27,2,LBBC,crop,crop,"620,621",5/29/13,6/5/13,8/1/13,10/4/13,116,10/23/13,,,,,,
27,3,BINY,weed,weed,,5/29/13,,,,,,,,,,,
27,5,FGBC,crop,crop,"1112, 1113",5/29/13,6/2/13,9/3/13,9/5/13,54,9/20/13,9/9/13,,,,,
