Pop,UniqueID,OrigID,PlantingDate,PlantToFlower,DaysToGerm,GermToFlwr,NumVernalz,DaysVernalized,PetLen,PetWid,Tube,ShrtFil,LongFil,Pistil,ShrtAnther,LongAnther,Ovules,1stFlwrHgt_cm,LeafNum,FlwrPos,SeedWt_g
KAMI,1070,16,6/20/03,30,5,25,0,0,8.3838,7.787,12.9212,8.1675,11.304,14.2644,2.7447,2.0553,13,36.2,3,4,0.0022
KAMI,1071,17,6/20/03,39,5,34,0,0,8.0783,9.6916,12.0084,7.5039,10.3094,14.2934,2.5919,2.3667,14,47.4,7,4,0.0019
KAMI,1072,18,6/20/03,31,6,25,0,0,6.8574,6.557,11.542,7.9429,10.0562,12.5653,2.8897,2.4262,8,29.8,2,6,0.0035
KAMI,.,19,6/10/03,27,5,22,0,0,6.6439,7.2058,11.6516,7.9117,11.2409,16.1818,2.6949,2.1347,9,28.2,.,.,0.0009
KAMI,1073,22,6/20/03,38,11,27,0,0,7.5065,8.117,12.8368,8.8211,11.7486,13.2323,2.5298,2.3254,9,39.6,4,4,0.002
KAMI,1074,24,6/10/03,39,15,24,0,0,9.3582,7.4602,11.3183,8.2734,11.0048,12.733,2.4486,2.15,13,25.7,4,5,0.0058
KAMI,1075,25,6/10/03,36,5,31,0,0,9.1294,8.5671,13.2833,9.1392,11.8371,12.012,2.2276,2.0614,6,26.4,8,3,0.006
KAMI,1076,26,6/20/03,23,4,19,0,0,8.0802,6.3952,12.919,7.6551,10.6932,12.3273,2.7488,2.3001,11,25,3,4,0.0062
KAMI,1077,28,6/10/03,32,7,25,0,0,8.3965,7.4183,11.279,7.2597,10.3263,10.6302,2.3813,2.1581,8,28.7,5,8,0.0025
KAMI,1078,30,6/20/03,27,5,22,0,0,7.4096,8.2104,11.1754,6.5993,11.3894,10.6998,2.8207,2.2866,8,22.4,3,3,0.0046
KAMI,1079,31,6/20/03,31,6,25,0,0,9.1041,7.8993,12.2549,9.5658,11.9585,13.9396,2.0506,2.4,9,28.3,3,3,0.0069
KAMI,1080,33,6/20/03,25,4,21,0,0,7.8726,6.1118,12.0953,7.9706,12.0109,13.253,2.546,2.2073,9,29.3,4,3,0.0032
KAMI,1081,34,6/20/03,29,5,24,0,0,9.5006,7.1056,12.6214,8.3189,10.788,13.9258,2.7968,2.3463,6,27.6,3,5,0.0014
KAMI,1082,35,6/20/03,25,3,22,0,0,8.1762,7.5523,11.9945,8.11,11.635,14.5583,2.8105,2.0223,9,35.1,5,3,0.0033
KAMI,1083,36,6/10/03,38,15,23,0,0,9.3144,7.8089,12.8418,8.6386,10.9602,12.8685,2.8314,2.4825,8,13.6,5,5,0.0028
KAMI,1084,37,6/10/03,37,7,30,0,0,7.619,7.9882,13.1993,7.8354,10.9115,12.6098,2.8937,2.258,7,35.3,6,5,0.0027
KAMI,1085,38,.,24,3,21,0,0,.,.,.,.,.,.,.,.,.,.,5,.,.
KAMI,1086,39,.,.,.,.,0,0,.,.,.,.,.,.,.,.,.,.,.,.,.
KAMI,1087,40,.,.,.,.,0,0,.,.,.,.,.,.,.,.,.,.,.,.,.
KAMI,1088,41,6/10/03,33,13,20,0,0,10.1704,7.3159,11.7913,10.2816,12.3454,14.7307,3.0024,2.6099,9,16.9,5,3,0.0054
KAMI,1089,42,6/20/03,27,4,23,0,0,8.5937,7.6335,13.2234,8.4478,10.8536,15.4439,2.9953,2.6459,8,34,4,4,0.0035
KAMI,1090,43,6/20/03,24,3,21,0,0,9.9916,8.4622,13.8354,9.4833,12.7299,15.0342,2.0003,2.0456,6,26.9,4,3,0.006
KAMI,.,44,6/20/03,36,4,32,0,0,9.3168,8.2754,11.2028,8.9831,11.3076,14.6573,1.7811,1.9174,8,56.5,.,.,0.0026
KAMI,1091,45,6/10/03,30,5,25,0,0,7.3593,5.9489,11.1397,9.4816,11.1611,16.193,2.3706,1.8349,8,20.1,5,3,0.0035
KAMI,1092,48,6/20/03,28,4,24,0,0,6.7287,7.6226,12.7922,8.0522,11.3263,11.7506,2.8324,2.2561,8,26.4,3,9,0.0039
KAMI,1093,49,6/20/03,36,7,29,0,0,7.5684,7.1241,11.982,8.1516,11.8651,12.3235,2.4262,2.5297,8,31.9,3,4,0.0012
KAMI,1094,50,.,42,5,37,0,0,9.0946,9.371,9.7292,7.386,10.0883,14.2495,.,.,9,19.9,7,.,.
MAES,1095,1,6/10/03,56,4,52,0,0,9.7195,6.6616,12.4963,8.6683,11.9655,13.6268,2.5767,2.2377,8,5.5,37,6,0.0031
MAES,1096,2,6/10/03,65,6,59,0,0,9.1653,5.3227,11.8143,7.4696,11.1145,14.5134,3.1725,1.9759,8,8.5,29,4,0.0047
MAES,1097,3,6/10/03,67,5,62,0,0,10.9631,6.4012,14.0222,10.7263,13.4095,14.6928,1.7979,1.7824,6,3.6,53,12,0.0021
MAES,1098,4,6/10/03,70,7,63,0,0,12.6129,6.4605,13.0195,10.1009,12.6502,18.1379,2.4714,2.0533,8,10,34,5,0.0037
MAES,1099,5,6/10/03,67,5,62,0,0,7.1088,4.8449,12.0971,8.766,12.2901,11.8991,3.1378,1.727,8,11.1,23,3,0.0021
MAES,1100,6,6/10/03,65,5,60,0,0,8.4786,7.2244,11.925,6.9399,12.0589,14.4854,3.0675,2.4669,9,12.1,29,3,0.0044
MAES,1101,7,6/10/03,90,6,84,0,0,8.7739,5.684,11.7075,8.6544,12.2176,13.443,2.2136,2.1176,9,6.9,40,9,0.0118
MAES,1102,9,6/10/03,76,5,71,0,0,7.2498,5.7842,10.6055,7.1787,10.4828,11.4805,1.8367,1.8666,7,29.2,36,3,0.0036
MAES,1103,10,6/10/03,76,5,71,0,0,8.0259,5.9552,13.5812,9.3238,12.4404,15.089,2.8451,2.4369,6,10.1,21,5,0.0037
MAES,1104,11,6/10/03,78,5,73,0,0,.,.,11.8413,9.614,12.3894,12.2151,1.8425,1.6467,8,5.8,17,4,0.004
MAES,1105,12,6/10/03,78,4,74,0,0,10.3586,6.2123,13.7123,9.9878,12.8108,14.2169,1.8716,2.2311,8,22.8,46,3,0.0024
MAES,1106,15,6/10/03,76,4,72,0,0,11.0118,6.9206,12.3502,8.7111,12.0142,12.7783,2.5104,1.7751,7,20.9,38,11,0.0032
MAES,1107,16,6/10/03,86,5,81,0,0,8.2384,3.1403,11.6281,8.3638,11.1614,13.1943,1.9772,1.4615,9,7.7,36,3,0.0099
MAES,1108,18,6/10/03,90,4,86,0,0,9.96,6.8464,12.4977,10.1466,13.3284,14.1089,2.7506,1.9744,8,19.5,14,3,0.0031
